,full_id,osm_id,osm_type,Area,Chosen
720,w486177203,486177203,way,19.591141526261165,1.0
730,w486178086,486178086,way,6.8333545810220455,1.0
733,w486178089,486178089,way,25.478830226394635,1.0
811,w487708426,487708426,way,23.361234848944758,1.0
817,w487710246,487710246,way,30.848239875243568,1.0
824,w487713345,487713345,way,32.728935313207046,1.0
836,w487713368,487713368,way,20.000156523823403,1.0
843,w487714409,487714409,way,7.2539728409264725,1.0
850,w488116401,488116401,way,57.46128899558738,1.0
873,w488118379,488118379,way,24.11544690118718,1.0
896,w488119535,488119535,way,25.37536780384343,1.0
906,w488119826,488119826,way,6.299604513281254,1.0
912,w488120353,488120353,way,35.40735503719616,1.0
917,w488120789,488120789,way,20.039801003492556,1.0
918,w488120790,488120790,way,31.46998134907931,1.0
943,w488348204,488348204,way,13.356321894390478,1.0
946,w488348208,488348208,way,16.126600778588603,1.0
956,w488348814,488348814,way,31.61695600541373,1.0
958,w488349395,488349395,way,24.68207287889751,1.0
960,w488349397,488349397,way,19.04385431912115,1.0
988,w491015651,491015651,way,20.788211424563883,1.0
1026,w492146279,492146279,way,37.02214237981775,1.0
1033,w492149246,492149246,way,39.61063682065488,1.0
1041,w492153304,492153304,way,57.74943667708513,1.0
1045,w494511986,494511986,way,17.157357249986582,1.0
1087,w494513626,494513626,way,18.344757763004136,1.0
1093,w494514922,494514922,way,62.18865146150174,1.0
1101,w494839329,494839329,way,27.276368950905738,1.0
1148,w500801419,500801419,way,32.31025093035964,1.0
1160,w500802054,500802054,way,36.17413729030929,1.0
1170,w500803013,500803013,way,18.924920880113692,1.0
1180,w503778764,503778764,way,57.04743930538257,1.0
1195,w503780001,503780001,way,17.61568611250313,1.0
1209,w503781652,503781652,way,18.767309899965596,1.0
1238,w503884643,503884643,way,10.470977325298957,1.0
1284,w504622169,504622169,way,23.470498902667057,1.0
1305,w504624355,504624355,way,10.915769048416282,1.0
1344,w510579652,510579652,way,62.67502154134525,1.0
1362,w516261027,516261027,way,17.33237312364796,1.0
1369,w516261623,516261623,way,28.45119926305259,1.0
1373,w516261845,516261845,way,24.163793827612977,1.0
1423,w520427691,520427691,way,27.26669956562058,1.0
1442,w520429434,520429434,way,24.422933353255246,1.0
1447,w522440849,522440849,way,21.324862307890218,1.0
1486,w526331274,526331274,way,16.897250785815796,1.0
1503,w526337678,526337678,way,5.920564610103011,1.0
1524,w527562760,527562760,way,29.639566714598658,1.0
1527,w527562763,527562763,way,23.532382968492076,1.0
1529,w527562765,527562765,way,22.109049454516637,1.0
1534,w527562773,527562773,way,8.20640729151466,1.0
1536,w527562775,527562775,way,18.21132024606894,1.0
1543,w527563349,527563349,way,11.17974326670113,1.0
1546,w527563354,527563354,way,7.617541727648461,1.0
1555,w527563941,527563941,way,12.753919191125057,1.0
1568,w528150062,528150062,way,14.766118268966698,1.0
1628,w533805119,533805119,way,11.162338373187843,1.0
1629,w533805120,533805120,way,9.9149876714023,1.0
1645,w533806740,533806740,way,25.60066448098764,1.0
1663,w533808999,533808999,way,20.637369014115396,1.0
1671,w533811307,533811307,way,10.456473247371218,1.0
1689,w533815620,533815620,way,36.21668258556399,1.0
1702,w533817236,533817236,way,38.931845973636705,1.0
1715,w533819788,533819788,way,42.29002348317252,1.0
1724,w533821093,533821093,way,30.761215407677135,1.0
1779,w535349139,535349139,way,30.049548650689413,1.0
1784,w535349147,535349147,way,33.21240457746501,1.0
1880,w535770801,535770801,way,20.920682002970565,1.0
1894,w535776981,535776981,way,26.368413672629284,1.0
1919,w535779806,535779806,way,38.826449674028474,1.0
1934,w535779829,535779829,way,11.423411775887143,1.0
1951,w538113743,538113743,way,17.572173878719912,1.0
1970,w538113831,538113831,way,17.414562898571816,1.0
1991,w538114996,538114996,way,8.5670753626511,1.0
2031,w538116752,538116752,way,15.983493876368248,1.0
2047,w538611688,538611688,way,15.383025050159858,1.0
2060,w538611703,538611703,way,9.674219977801833,1.0
2062,w538611706,538611706,way,19.905396548028843,1.0
2067,w538611713,538611713,way,14.550490977107644,1.0
2099,w538613617,538613617,way,5.962142966829196,1.0
2100,w538613618,538613618,way,10.960248220728014,1.0
2108,w539127964,539127964,way,3.6530937607331664,1.0
2120,w539127994,539127994,way,14.124071086032123,1.0
2133,w539129853,539129853,way,21.962074798182215,1.0
2185,w539746871,539746871,way,7.1572789880748795,1.0
2217,w541432682,541432682,way,11.13719797144643,1.0
2222,w541432692,541432692,way,16.708697772755194,1.0
2240,w541436883,541436883,way,28.25394380323534,1.0
2242,w541436885,541436885,way,10.144152102660573,1.0
2261,w541438324,541438324,way,22.787840301534814,1.0
2289,w541771644,541771644,way,24.38328887358609,1.0
2306,w541772547,541772547,way,16.144972610630408,1.0
2307,w541772549,541772549,way,28.376744996356866,1.0
2322,w541775515,541775515,way,72.94197483712735,1.0
2358,w541780642,541780642,way,11.9794014297838,1.0
2378,w541914135,541914135,way,8.257655033526003,1.0
2379,w541914136,541914136,way,12.53249026809491,1.0
2394,w541915418,541915418,way,18.240328401924415,1.0
2411,w541916875,541916875,way,12.760687760824668,1.0
2434,w541919413,541919413,way,5.37037658737745,1.0
2445,w541922136,541922136,way,3.2885579354826624,1.0
2453,w541922147,541922147,way,16.380905611588293,1.0
2462,w541923134,541923134,way,32.05401222030293,1.0
2469,w541965084,541965084,way,23.24520222552285,1.0
2472,w541965093,541965093,way,51.126874695279554,1.0
2473,w541965094,541965094,way,24.334941947160296,1.0
2521,w543184815,543184815,way,50.12319250268003,1.0
2560,w543191248,543191248,way,25.37536780384343,1.0
2574,w554132012,554132012,way,12.231772385726456,1.0
2589,w554132279,554132279,way,27.91261450266922,1.0
2592,w554132282,554132282,way,15.940948581113547,1.0
2593,w554132283,554132283,way,29.075841552473875,1.0
2594,w554132441,554132441,way,20.34245276291804,1.0
2597,w554132445,554132445,way,13.899741347416429,1.0
2598,w554132446,554132446,way,11.162338373187843,1.0
2599,w554132757,554132757,way,33.57210571007293,1.0
2604,w554132879,554132879,way,22.127421286558437,1.0
2630,w556280034,556280034,way,7.568227862694148,1.0
2662,w574606570,574606570,way,39.2780099668454,1.0
2679,w574610379,574610379,way,8.065234266351334,1.0
2685,w574610386,574610386,way,4.343487870093537,1.0
2693,w574615565,574615565,way,25.41114452939852,1.0
2694,w574615566,574615566,way,7.811896371880162,1.0
2715,w576480195,576480195,way,23.18041734411228,1.0
2716,w576480196,576480196,way,23.72867148978081,1.0
2733,w576483438,576483438,way,27.159369388955312,1.0
2736,w576483442,576483442,way,31.72138536649345,1.0
2743,w576484582,576484582,way,12.293656451551476,1.0
2767,w576485593,576485593,way,22.133222917729533,1.0
2771,w576485599,576485599,way,14.129872717203218,1.0
2791,w579393940,579393940,way,19.866719006888204,1.0
2806,w579398451,579398451,way,22.08390905277522,1.0
2815,w579405953,579405953,way,39.67155394795139,1.0
2820,w579409218,579409218,way,17.195067852598704,1.0
2850,w580263360,580263360,way,23.455027886210804,1.0
2851,w580263361,580263361,way,19.59984397301781,1.0
2869,w584479313,584479313,way,37.54235530815932,1.0
2880,w584479325,584479325,way,13.797245863393739,1.0
2892,w584480360,584480360,way,26.818040088389193,1.0
2894,w584480363,584480363,way,29.057469720432074,1.0
2898,w584481688,584481688,way,30.27581226636214,1.0
2899,w584481689,584481689,way,32.4166141684964,1.0
2902,w585245443,585245443,way,16.88951527758767,1.0
2908,w585245451,585245451,way,25.882043592785777,1.0
2916,w585245462,585245462,way,19.38808443527282,1.0
2919,w585245465,585245465,way,27.642838653213275,1.0
2939,w585250085,585250085,way,18.542013222821385,1.0
2966,w586108775,586108775,way,24.200537491696583,1.0
2968,w586108777,586108777,way,30.27581226636214,1.0
2971,w586108781,586108781,way,15.712751088383788,1.0
2984,w586110247,586110247,way,19.695570887340885,1.0
2991,w586111911,586111911,way,31.42646911529609,1.0
3012,w587032478,587032478,way,19.074796352033662,1.0
3019,w587035114,587035114,way,20.351155209674683,1.0
3022,w587035120,587035120,way,21.19432560654057,1.0
3045,w587036162,587036162,way,26.9398743429822,1.0
3048,w587036869,587036869,way,15.445876054513393,1.0
3066,w587043545,587043545,way,30.72930643623611,1.0
3082,w588230688,588230688,way,31.083205937672936,1.0
3089,w588232906,588232906,way,36.76977142387509,1.0
3092,w588232914,588232914,way,102.74398722451669,1.0
3174,w592868590,592868590,way,49.96074682988936,1.0
3202,w592870303,592870303,way,20.35695684084578,1.0
3222,w592871948,592871948,way,30.02730906453355,1.0
3240,w592874733,592874733,way,61.70904995135785,1.0
3281,w603537109,603537109,way,36.0958152694995,1.0
3305,w605087013,605087013,way,17.440670238841747,1.0
3307,w605087015,605087015,way,16.88951527758767,1.0
3331,w605089103,605089103,way,16.82763121176265,1.0
3344,w620740181,620740181,way,21.11890440131633,1.0
3354,w620980380,620980380,way,13.85912992921876,1.0
3387,w620983106,620983106,way,22.784939485949266,1.0
3402,w620984144,620984144,way,22.398164074542894,1.0
3403,w620984145,620984145,way,18.843698043718355,1.0
3407,w620984149,620984149,way,23.18718591381189,1.0
3439,w621816385,621816385,way,11.199082037271447,1.0
3477,w621835524,621835524,way,15.544503784422016,1.0
3487,w621835534,621835534,way,22.909674556127822,1.0
3491,w621835538,621835538,way,15.608321727304068,1.0
3513,w625668209,625668209,way,16.237798709367937,1.0
3517,w625668213,625668213,way,11.375064849461348,1.0
3551,w627046116,627046116,way,8.439439476886998,1.0
3560,w627046988,627046988,way,29.091312568930135,1.0
3576,w629298529,629298529,way,24.30303297571927,1.0
3596,w629300891,629300891,way,9.427650653030273,1.0
3622,w629301743,629301743,way,17.742355059738717,1.0
3633,w629302083,629302083,way,25.41307840645555,1.0
3657,w629302571,629302571,way,9.024437286639133,1.0
3702,w632593309,632593309,way,6.734726851113421,1.0
3711,w632593324,632593324,way,4.512702112583824,1.0
3726,w632593368,632593368,way,16.82763121176265,1.0
3785,w632606074,632606074,way,7.995614692298187,1.0
3801,w632606091,632606091,way,31.38198994298436,1.0
3809,w632611232,632611232,way,6.3450506241215034,1.0
3835,w632611269,632611269,way,23.12143409387281,1.0
3841,w632611280,632611280,way,13.174537451029485,1.0
3857,w632614012,632614012,way,8.565141485594067,1.0
3886,w632614124,632614124,way,14.22463269299778,1.0
3916,w632616305,632616305,way,9.856004421162828,1.0
3925,w632616314,632616314,way,18.0875521144189,1.0
3938,w632627190,632627190,way,19.866719006888204,1.0
3973,w632627235,632627235,way,21.03478074933544,1.0
3974,w632627238,632627238,way,11.211652238142156,1.0
3991,w632627265,632627265,way,8.75466143718319,1.0
4008,w632627829,632627829,way,8.3910925504612,1.0
4022,w632632305,632632305,way,33.92890602709531,1.0
4077,w632637631,632637631,way,4.538809452853754,1.0
4080,w632637634,632637634,way,11.502700735225448,1.0
4093,w632641765,632641765,way,16.49790517353872,1.0
4097,w632641770,632641770,way,12.760687760824668,1.0
4100,w632641775,632641775,way,17.90286685547236,1.0
4111,w632641802,632641802,way,29.15319663475515,1.0
4113,w632641807,632641807,way,29.79427687916121,1.0
4114,w632643984,632643984,way,29.711120165708838,1.0
4119,w632643989,632643989,way,19.074796352033662,1.0
4131,w632644001,632644001,way,31.84225268255794,1.0
4136,w632644007,632644007,way,61.18206845331667,1.0
4177,w632648929,632648929,way,5.071592582066029,1.0
4182,w632648934,632648934,way,7.058651258166256,1.0
4203,w632648960,632648960,way,12.711373895870356,1.0
4232,w632653964,632653964,way,19.163754696657126,1.0
4238,w632653971,632653971,way,12.462870694041762,1.0
4266,w632656845,632656845,way,11.736699859126302,1.0
4292,w632658644,632658644,way,34.83589436684324,1.0
4304,w632660854,632660854,way,33.33617270911505,1.0
4315,w632660865,632660865,way,15.676007424300183,1.0
4342,w632667868,632667868,way,15.247653656167628,1.0
4346,w632667872,632667872,way,20.80078162543459,1.0
4372,w632667903,632667903,way,13.12328970901814,1.0
4373,w632667904,632667904,way,31.284329151604254,1.0
4397,w632667932,632667932,way,25.23612865573714,1.0
4403,w633055739,633055739,way,11.13719797144643,1.0
4442,w633056512,633056512,way,12.334267869749144,1.0
4450,w633059298,633059298,way,13.309908845021715,1.0
4451,w633059299,633059299,way,23.122401032401324,1.0
4511,w633630160,633630160,way,5.255310902484055,1.0
4529,w633630188,633630188,way,3.4452019771022426,1.0
4552,w633630993,633630993,way,12.668828600615656,1.0
4562,w633631673,633631673,way,3.539961952896803,1.0
4576,w633631689,633631689,way,3.2885579354826624,1.0
4589,w633631702,633631702,way,12.80710081019343,1.0
4594,w633631709,633631709,way,4.134629147934097,1.0
4618,w633633160,633633160,way,12.663993907973076,1.0
4623,w633633165,633633165,way,21.693265887254785,1.0
4629,w633633171,633633171,way,22.35271796370265,1.0
4632,w633634475,633634475,way,6.380827349676592,1.0
4637,w633634480,633634480,way,8.241217078541233,1.0
4677,w633641276,633641276,way,34.49166425069157,1.0
4692,w633641293,633641293,way,38.99469697799024,1.0
4711,w633641319,633641319,way,104.42355944854886,1.0
4716,w633643884,633643884,way,6.626429735919637,1.0
4728,w633643911,633643911,way,5.389715357947768,1.0
4753,w633646400,633646400,way,15.949651027870189,1.0
4756,w633646403,633646403,way,9.850202789991734,1.0
4759,w633646406,633646406,way,15.860692683246725,1.0
4781,w633646433,633646433,way,22.75883214567934,1.0
4785,w633646438,633646438,way,5.825804634308451,1.0
4789,w633647351,633647351,way,3.989588368656708,1.0
4830,w633647621,633647621,way,3.655027637790198,1.0
4849,w633651966,633651966,way,6.508463235440694,1.0
4874,w633657223,633657223,way,11.461122378499264,1.0
4926,w633660227,633660227,way,26.957279236495488,1.0
4964,w633667081,633667081,way,4.220686676972014,1.0
4980,w633667101,633667101,way,31.073536552387782,1.0
4991,w633667113,633667113,way,4.223587492557562,1.0
4993,w633667116,633667116,way,12.525721698395298,1.0
4996,w633667119,633667119,way,8.468447632742475,1.0
4999,w633667122,633667122,way,7.463798501614428,1.0
5000,w633667123,633667123,way,7.620442543234009,1.0
5050,w633668904,633668904,way,4.23615769342827,1.0
5066,w633668921,633668921,way,11.971665921555672,1.0
5068,w633668923,633668923,way,5.255310902484055,1.0
5094,w633674049,633674049,way,8.832016519464464,1.0
5104,w633674059,633674059,way,7.200791221858097,1.0
5140,w633674100,633674100,way,9.023470348110616,1.0
5167,w633675688,633675688,way,5.21856723840045,1.0
5172,w633675695,633675695,way,8.409464382503003,1.0
5173,w633675697,633675697,way,5.229203562214124,1.0
5186,w633675722,633675722,way,8.277960742624838,1.0
5237,w633678050,633678050,way,11.502700735225448,1.0
5254,w633682481,633682481,way,4.518503743754919,1.0
5260,w633682488,633682488,way,16.78025122386537,1.0
5264,w633682493,633682493,way,10.476778956470051,1.0
5285,w633682517,633682517,way,3.5612346005241533,1.0
5314,w633682552,633682552,way,24.38328887358609,1.0
5341,w633683539,633683539,way,13.174537451029485,1.0
5384,w633694959,633694959,way,9.563022047022503,1.0
5391,w633694966,633694966,way,14.766118268966698,1.0
5415,w633696345,633696345,way,12.477374771969501,1.0
5427,w633696360,633696360,way,32.63224146035545,1.0
5439,w633696374,633696374,way,19.682033747941663,1.0
5453,w633702156,633702156,way,12.811935502836011,1.0
5456,w633702159,633702159,way,16.82086264206304,1.0
5457,w633702160,633702160,way,14.088294360477033,1.0
5461,w633702176,633702176,way,12.70073757205668,1.0
5493,w633702214,633702214,way,38.621458705983095,1.0
5519,w633702785,633702785,way,4.557181284895557,1.0
5531,w633706147,633706147,way,4.512702112583824,1.0
5538,w633706156,633706156,way,9.9149876714023,1.0
5541,w633706160,633706160,way,4.877237937834328,1.0
5554,w633706177,633706177,way,7.2539728409264725,1.0
5570,w633706194,633706194,way,13.511998997481543,1.0
5576,w633706200,633706200,way,11.375064849461348,1.0
5581,w633706206,633706206,way,19.170523266356735,1.0
5592,w633706220,633706220,way,14.119236393389544,1.0
5593,w633706222,633706222,way,11.17974326670113,1.0
5612,w633724560,633724560,way,41.666348132279744,1.0
5614,w633724564,633724564,way,27.324715877331535,1.0
5626,w633724583,633724583,way,11.375064849461348,1.0
5636,w633724593,633724593,way,9.92659093374449,1.0
5641,w633724598,633724598,way,18.32058429979124,1.0
5647,w633724604,633724604,way,22.81201376474771,1.0
5667,w633724626,633724626,way,9.690657932786605,1.0
5673,w633724632,633724632,way,12.739415113197317,1.0
5676,w633724635,633724635,way,16.165278319729243,1.0
5700,w633724663,633724663,way,18.444352431441278,1.0
5704,w633724667,633724667,way,11.339288123906258,1.0
5720,w633724701,633724701,way,26.069629667317866,1.0
5734,w633724733,633724733,way,12.753919191125057,1.0
5752,w633724752,633724752,way,14.221731877412232,1.0
5763,w633724763,633724763,way,8.069102020465397,1.0
5767,w633724767,633724767,way,27.20578243832408,1.0
5788,w633724791,633724791,way,33.05769441290246,1.0
5827,w639970923,639970923,way,12.398085812631196,1.0
5874,w639970999,639970999,way,16.432153353599638,1.0
5878,w640498540,640498540,way,32.634175337412486,1.0
5940,w781512947,781512947,way,12.910563232744638,1.0
5947,w781512955,781512955,way,9.491468595912323,1.0
5966,w800747457,800747457,way,3.977985106314517,1.0
5979,w800747471,800747471,way,10.367514902747752,1.0
6020,w800750676,800750676,way,15.106480631004302,1.0
6082,w878037696,878037696,way,31.135420618212798,1.0
6083,w878037697,878037697,way,28.88438772382773,1.0
6103,w880811178,880811178,way,12.70073757205668,1.0
6156,w881755793,881755793,way,19.6539925306147,1.0
6174,w881755815,881755815,way,39.74600821464712,1.0
6179,w881755820,881755820,way,35.51178439827588,1.0
6182,w881755823,881755823,way,24.199570553168066,1.0
6190,w881761429,881761429,way,7.147609602789721,1.0
6191,w881761431,881761431,way,24.95378260541049,1.0
6194,w881761442,881761442,way,4.877237937834328,1.0
6197,w881941843,881941843,way,18.895912724258213,1.0
6251,w882997264,882997264,way,7.824466572750869,1.0
6286,w884174742,884174742,way,97.97891415599021,1.0
6295,w884182402,884182402,way,37.33929821717098,1.0
6305,w884182412,884182412,way,36.483557619434386,1.0
6320,w884182429,884182429,way,15.378190357517278,1.0
6321,w884182431,884182431,way,32.53071291486128,1.0
6341,w884214057,884214057,way,15.039761872536703,1.0
6343,w884214059,884214059,way,28.115671593657563,1.0
6362,w884214079,884214079,way,21.601406727045774,1.0
6384,w884214101,884214101,way,27.622532944114443,1.0
6403,w884374161,884374161,way,3.5418958299538352,1.0
6408,w884374166,884374166,way,11.566518678107501,1.0
6412,w884441762,884441762,way,30.65485216954038,1.0
6438,w884932008,884932008,way,37.868213592269186,1.0
6451,w884932021,884932021,way,18.841764166661324,1.0
6452,w884932022,884932022,way,12.510250681939043,1.0
6453,w884932023,884932023,way,25.36183066444421,1.0
6462,w884932032,884932032,way,21.659423038756728,1.0
6468,w885297878,885297878,way,4.615197596606512,1.0
6535,w886810417,886810417,way,21.27748231999294,1.0
6551,w887365510,887365510,way,96.54881207231516,1.0
6586,w888000643,888000643,way,4.627767797477219,1.0
6589,w888000646,888000646,way,15.888733900573685,1.0
6591,w888000648,888000648,way,31.0503300277034,1.0
6625,w891199695,891199695,way,6.304439205923834,1.0
6637,w892485699,892485699,way,21.962074798182215,1.0
6640,w892485702,892485702,way,30.812463149688483,1.0
6646,w892485708,892485708,way,19.842545543675307,1.0
6659,w892485722,892485722,way,21.383845558129693,1.0
6668,w892485732,892485732,way,24.778766731749105,1.0
6681,w896947036,896947036,way,14.4566979398416,1.0
6714,w897325115,897325115,way,17.172828266442835,1.0
6751,w897325152,897325152,way,21.291986397920677,1.0
6777,w898628575,898628575,way,26.45833895578127,1.0
6782,w898628580,898628580,way,59.51990112279778,1.0
6791,w898628589,898628589,way,149.11449129802642,1.0
6799,w898628597,898628597,way,20.99900402378035,1.0
6814,w900520090,900520090,way,7.510211550983193,1.0
6815,w900520091,900520091,way,15.704048641627145,1.0
6824,w900520100,900520100,way,19.905396548028843,1.0
6832,w900520108,900520108,way,21.494076550380505,1.0
6851,w901800611,901800611,way,9.92175624110191,1.0
6855,w901800615,901800615,way,17.33334006217648,1.0
6861,w901800621,901800621,way,12.663993907973076,1.0
6876,w902467283,902467283,way,9.223626623513413,1.0
6891,w902467300,902467300,way,9.856004421162828,1.0
6900,w902467309,902467309,way,20.99900402378035,1.0
6909,w908928292,908928292,way,31.273692827790576,1.0
6912,w908928296,908928296,way,23.547853984948333,1.0
6917,w1052092095,1052092095,way,14.4566979398416,1.0
6924,w1060173019,1060173019,way,127.67359636671429,1.0
6927,w1060173023,1060173023,way,234.72819555135496,1.0
6930,w1060173027,1060173027,way,135.5667155749898,1.0
6944,w1082940196,1082940196,way,9.674219977801833,1.0
6950,w1082940202,1082940202,way,33.813840342201914,1.0
6982,w1083205954,1083205954,way,22.434907738626503,1.0
6986,w1083205958,1083205958,way,33.90860031799647,1.0
6989,w1083205961,1083205961,way,17.07903522917679,1.0
7045,w1086210733,1086210733,way,23.83986942056014,1.0
7053,w1086210761,1086210761,way,31.75716209204854,1.0
7070,w1086210779,1086210779,way,33.122479294313024,1.0
7091,w1086210810,1086210810,way,6.970659852071306,1.0
7106,w1086210849,1086210849,way,46.181951060449116,1.0
7120,w1086210871,1086210871,way,36.97476239192047,1.0
7137,w1086210892,1086210892,way,17.09837399974711,1.0
7144,w1086210899,1086210899,way,44.5420233160861,1.0
7159,w1159421435,1159421435,way,22.580915456432407,1.0
7165,w1207656379,1207656379,way,24.178297905540717,1.0
7174,w1207656388,1207656388,way,29.951887859309306,1.0
7182,w1207656402,1207656402,way,19.833843096918663,1.0
7190,w1208468382,1208468382,way,20.902310170928757,1.0
7192,w1208468384,1208468384,way,17.674669362742602,1.0
7200,w1208468392,1208468392,way,7.0132051473260075,1.0
7219,w1208468411,1208468411,way,11.176842451115583,1.0
7234,w1208468426,1208468426,way,31.37715525034178,1.0
7236,w1208468428,1208468428,way,16.18268321324253,1.0
7241,w1208468434,1208468434,way,39.7875865713733,1.0
7253,w1208468448,1208468448,way,13.801113617507802,1.0
7264,w1208468460,1208468460,way,30.75541377650604,1.0
7280,w1208680322,1208680322,way,26.911833125655235,1.0
7281,w1208680323,1208680323,way,46.98741085470288,1.0
7305,w1208680347,1208680347,way,23.899819609328127,1.0
7306,w1208680348,1208680348,way,4.145265471747772,1.0
7336,w1208680378,1208680378,way,20.91488037179947,1.0
7394,w1208719971,1208719971,way,10.39652305860323,1.0
7439,w1208720022,1208720022,way,9.536914706752572,1.0
7461,w1208720044,1208720044,way,9.68485630161551,1.0
7474,w1209314491,1209314491,way,16.144972610630408,1.0
7486,w1210521090,1210521090,way,9.541749399395153,1.0
7497,w1210521101,1210521101,way,150.26031345431778,1.0
7518,w1210521129,1210521129,way,9.175279697087616,1.0
7531,w1210772295,1210772295,way,9.527245321467413,1.0
7570,w1210772337,1210772337,way,7.180485512759263,1.0
7586,w1210772353,1210772353,way,9.31451884519391,1.0
7600,w1214740849,1214740849,way,19.193729791041118,1.0
7687,w1214740941,1214740941,way,9.40927882098847,1.0
7696,w1215530921,1215530921,way,32.46689497197923,1.0
7708,w1215530933,1215530933,way,16.294848082550377,1.0
7724,w1215530949,1215530949,way,18.620335243631175,1.0
7746,w1215530972,1215530972,way,16.686458186599324,1.0
7771,w1215530997,1215530997,way,9.239097639969668,1.0
7804,w1215531031,1215531031,way,8.650232076103467,1.0
7825,w1215953920,1215953920,way,9.023470348110616,1.0
7828,w1215953923,1215953923,way,37.670958132451936,1.0
7831,w1215953926,1215953926,way,12.24530952512568,1.0
