full_id,osm_id,osm_type,Area,S_coeff,W_coeff,E_coeff
w472418907,472418907,way,87.3242625,0.31,0.45,0.24
w472420794,472420794,way,19.35844125,0.34,0.2,0.46
w472423762,472423762,way,46.616846249999995,0.2,0.32,0.48
w472427810,472427810,way,129.0949125,0.43,0.27,0.3
w472427813,472427813,way,242.80507499999996,0.45,0.54,0.01
w473444135,473444135,way,493.1781825,0.64,0.08,0.28
w473453431,473453431,way,41.833875,0.03,0.72,0.25
w475448882,475448882,way,9.951614999999999,0.46,0.02,0.52
w475449239,475449239,way,13.384732499999998,0.13999999999999999,0.36,0.5
w475616869,475616869,way,67.1597025,0.05,0.41,0.54
w475691042,475691042,way,386.4543825,0.17,0.12,0.71
w475720681,475720681,way,1821.8315362499998,0.15,0.41,0.44
w475726035,475726035,way,96.48978,0.58,0.06,0.36
w475743546,475743546,way,201.953295,0.4,0.23,0.37
w475955282,475955282,way,122.68916624999999,0.22,0.37,0.41000000000000003
w476744098,476744098,way,88.2557775,0.35,0.09,0.56
w476748298,476748298,way,11.00958,0.52,0.13,0.35
w476751523,476751523,way,343.15052625,0.38,0.45,0.17
w476752904,476752904,way,121.5374175,0.36,0.33999999999999997,0.3
w476754097,476754097,way,57.91093875000001,0.25,0.5,0.25
w476767732,476767732,way,562.25676375,0.22999999999999998,0.19999999999999998,0.5700000000000001
w477680540,477680540,way,222.23271374999996,0.22,0.14,0.64
w477681559,477681559,way,32.518725,0.43,0.3,0.27
w477683531,477683531,way,132.67977,0.45,0.49,0.06
w478154604,478154604,way,20.65666125,0.52,0.01,0.47
w478824512,478824512,way,12.087566249999998,0.0,0.45,0.55
w482560351,482560351,way,57.96994875,0.34,0.41,0.25
w482663286,482663286,way,40.0530375,0.06,0.42,0.52
w482663294,482663294,way,43.51249875,0.44,0.23,0.33
w482692533,482692533,way,136.92954375,0.03,0.52,0.45
w482693532,482693532,way,1330.6365112499998,0.55,0.42,0.03
w482824932,482824932,way,212.27688375,0.13,0.18,0.69
w482824933,482824933,way,23.3110575,0.41,0.38,0.21000000000000002
w482824940,482824940,way,26.808453749999998,0.57,0.43,0.0
w482824945,482824945,way,60.511593749999996,0.44,0.54,0.02
w482847065,482847065,way,86.99865375,0.57,0.32,0.11
w484142317,484142317,way,4447.05577125,0.06,0.27,0.67
w484149718,484149718,way,33.9117825,0.05,0.58,0.37
w486178725,486178725,way,107.53202625,0.4,0.09,0.51
w486180357,486180357,way,62.15017499999999,0.45999999999999996,0.13,0.41000000000000003
w488116637,488116637,way,60.56428125,0.26,0.1,0.64
w494844375,494844375,way,45.1194675,0.01,0.45,0.54
w495288557,495288557,way,17.50173375,0.15,0.35,0.5
w495289198,495289198,way,21.6629925,0.58,0.0,0.42
w495289201,495289201,way,18.6703425,0.24,0.38,0.38
w504624472,504624472,way,62.0131875,0.34,0.29,0.37
w504625974,504625974,way,487.3066875,0.38,0.04,0.58
w504627428,504627428,way,42.533564999999996,0.18,0.12000000000000001,0.7
w506258669,506258669,way,166.57153125,0.15,0.67,0.18000000000000002
w506258673,506258673,way,775.0773825,0.23,0.32,0.45
w506258680,506258680,way,591.0378374999999,0.43,0.55,0.02
w506274183,506274183,way,65.08802999999999,0.09,0.1,0.81
w506294760,506294760,way,32.702077499999994,0.42,0.54,0.04
w506297655,506297655,way,15.773583749999998,0.04,0.51,0.45
w506297776,506297776,way,9.673425,0.48,0.18,0.34
w510573954,510573954,way,1297.8132524999999,0.72,0.12000000000000001,0.16
w516262156,516262156,way,45.1236825,0.19,0.53,0.28
w520426091,520426091,way,18.56812875,0.21,0.45,0.34
w520426092,520426092,way,212.94074625,0.29000000000000004,0.48,0.23
w528153537,528153537,way,163.75485749999999,0.42,0.02,0.56
w533817233,533817233,way,79.51492125,0.44,0.45,0.11
w533817237,533817237,way,179.86142625,0.34,0.14,0.52
w533818162,533818162,way,72.6666,0.78,0.0,0.22
w533818170,533818170,way,50.978317499999996,0.39,0.44,0.17
w533818171,533818171,way,74.10707624999999,0.26,0.1,0.64
w533818175,533818175,way,66.38625,0.34,0.2,0.46
w533818266,533818266,way,84.51601874999999,0.24,0.52,0.24
w533819771,533819771,way,114.43830374999999,0.47,0.07,0.46
w533819772,533819772,way,41.9034225,0.22,0.39,0.39
w533819775,533819775,way,59.5221225,0.43,0.4,0.17
w533819776,533819776,way,69.1365375,0.29,0.65,0.06
w533821089,533821089,way,55.8382125,0.46,0.12,0.42
w533821090,533821090,way,83.94488625,0.72,0.15,0.13
w533822055,533822055,way,29.21521875,0.53,0.38,0.09
w534569497,534569497,way,15.743025,0.46,0.2,0.34
w534569501,534569501,way,17.62607625,0.54,0.35,0.11
w534573301,534573301,way,13.624987500000001,0.38,0.33,0.29
w535343094,535343094,way,9.395235,0.24,0.36,0.4
w535346947,535346947,way,145.43330625000002,0.4,0.03,0.57
w535359998,535359998,way,535.3460962500001,0.47,0.41,0.12
w535368180,535368180,way,8.56488,0.62,0.02,0.36
w541775517,541775517,way,34.8053625,0.24,0.38,0.38
w541779229,541779229,way,67.76877,0.43,0.3,0.27
w541914145,541914145,way,57.47890125,0.19,0.02,0.79
w541923135,541923135,way,57.336645,0.42,0.41,0.17
w541965092,541965092,way,93.206295,0.44,0.53,0.03
w541965101,541965101,way,293.4483,0.48,0.49,0.03
w541969488,541969488,way,287.68955625,0.05,0.54,0.41
w543183748,543183748,way,53.560005,0.28,0.64,0.08
w543183749,543183749,way,5.76928125,0.56,0.41,0.03
w543189524,543189524,way,52.008885,0.0,0.98,0.02
w554132282,554132282,way,17.3721225,0.52,0.41,0.07
w574606560,574606560,way,77.67296625,0.14,0.49,0.37
w574606573,574606573,way,38.8011825,0.24,0.26,0.5
w574612623,574612623,way,80.8500225,0.4,0.22,0.38
w574617561,574617561,way,39.34386375,0.37,0.0,0.63
w574617568,574617568,way,74.57177999999999,0.12,0.4,0.48
w574617569,574617569,way,73.29885,0.29000000000000004,0.1,0.61
w579393918,579393918,way,57.61167375,0.6,0.29,0.11
w579405944,579405944,way,643.9308187500001,0.52,0.13,0.35
w579411994,579411994,way,104.77963125,0.26,0.35,0.39
w579411999,579411999,way,55.957286249999996,0.36,0.37,0.27
w579412003,579412003,way,54.54736875,0.44,0.17,0.39
w586115796,586115796,way,76.11236249999999,0.21,0.41,0.38
w586115799,586115799,way,56.77604999999999,0.13,0.44,0.43
w588230674,588230674,way,113.07475124999999,0.28,0.39,0.33
w588230676,588230676,way,111.38559,0.45,0.22,0.33
w588230681,588230681,way,67.27034625,0.25,0.31,0.44
w588230696,588230696,way,104.95666125,0.2,0.41,0.39
w588232920,588232920,way,149.24472,0.23,0.46,0.31
w588237662,588237662,way,234.86612250000002,0.35,0.36,0.29
w588237665,588237665,way,119.83982624999999,0.25,0.3,0.45
w588237910,588237910,way,51.05313375,0.23,0.14,0.63
w588238459,588238459,way,73.058595,0.62,0.34,0.04
w588814368,588814368,way,39.296445,0.1,0.53,0.37
w592485510,592485510,way,77.97749999999999,0.25,0.24,0.51
w592487869,592487869,way,35.960272499999995,0.3,0.46,0.24
w592487872,592487872,way,69.9331725,0.37,0.16,0.47
w592487873,592487873,way,145.23098625,0.31,0.14,0.55
w592487874,592487874,way,110.108445,0.41,0.25,0.34
w592488496,592488496,way,120.47734499999999,0.36,0.21,0.43
w592488500,592488500,way,58.047926249999996,0.19,0.43,0.38
w592781545,592781545,way,41.72533875,0.04,0.57,0.39
w592868589,592868589,way,104.26750874999999,0.3,0.28,0.42
w592868597,592868597,way,91.49922000000001,0.31,0.39,0.3
w592868598,592868598,way,193.53277874999998,0.2,0.41,0.39
w592874727,592874727,way,61.250272499999994,0.11,0.29,0.6
w601833450,601833450,way,117.21915,0.57,0.39,0.04
w601844646,601844646,way,76.90689,0.36,0.09,0.55
w603537107,603537107,way,22.3247475,0.16,0.27,0.57
w603537108,603537108,way,142.46805375,0.31,0.38,0.31
w605088179,605088179,way,54.77603250000001,0.51,0.01,0.48
w620980889,620980889,way,44.303864999999995,0.38,0.22,0.4
w620984134,620984134,way,49.867665,0.37,0.19,0.44
w620985278,620985278,way,62.92257375,0.15,0.81,0.04
w621838492,621838492,way,57.09955125,0.16,0.52,0.32
w622149918,622149918,way,81.24517875,0.12,0.5,0.38
w625669094,625669094,way,92.33273625,0.14,0.84,0.02
w625671304,625671304,way,44.831793749999996,0.19,0.46,0.35
w625671306,625671306,way,33.94444875,0.23,0.69,0.08
w629297578,629297578,way,25.32266625,0.61,0.27,0.12
w629297579,629297579,way,39.24164999999999,0.21,0.5,0.29
w630331862,630331862,way,43.654754999999994,0.3,0.16,0.54
w631683572,631683572,way,17.34051,0.24,0.16999999999999998,0.59
w631683573,631683573,way,5.188665,0.33,0.29,0.38
w631683975,631683975,way,8.8283175,0.46,0.15,0.39
w631819075,631819075,way,40.61890125,0.58,0.4,0.02
w631819126,631819126,way,25.66408125,0.5,0.31,0.19
w631821517,631821517,way,41.35231125,0.32,0.17,0.51
w632582578,632582578,way,16.943246249999998,0.42,0.14,0.44
w633731452,633731452,way,288.259635,0.27,0.38,0.35
w640498558,640498558,way,10.6112625,0.31,0.31,0.38
w642007899,642007899,way,129.65656125,0.09,0.25,0.66
w642007939,642007939,way,134.86630125,0.2,0.41,0.39
w643528419,643528419,way,96.47608125,0.27,0.34,0.39
w643944386,643944386,way,220.51826249999996,0.81,0.06,0.13
w645087064,645087064,way,6671.76649125,0.6,0.04,0.36
w657651680,657651680,way,4.7692725,0.1,0.22,0.68
w662743557,662743557,way,51.58633125,0.21,0.14,0.65
w662743558,662743558,way,22.2868125,0.23,0.24,0.53
w781512958,781512958,way,107.00725874999999,0.33,0.44,0.23
w784598628,784598628,way,33.53770125,0.47,0.33,0.2
w881761417,881761417,way,5.34988875,0.45,0.16,0.39
w881761418,881761418,way,20.919045,0.21,0.37,0.42
w881761419,881761419,way,4.7524125,0.35,0.31,0.34
w881761420,881761420,way,8.097015,0.14,0.51,0.35
w881761421,881761421,way,9.09597,0.71,0.09,0.2
w881761422,881761422,way,8.244539999999999,0.27,0.2,0.53
w881761423,881761423,way,3.82405875,0.45,0.25,0.3
w881761424,881761424,way,4.19076375,0.02,0.42,0.56
w881761425,881761425,way,6.519551249999999,0.07,0.47,0.46
w881761426,881761426,way,19.57972875,0.31,0.3,0.39
w881761430,881761430,way,20.438535,0.53,0.2,0.27
w881941841,881941841,way,124.65335625,0.46,0.3,0.24
w979842352,979842352,way,19.073928749999997,0.12,0.05,0.83
w979842353,979842353,way,14.039111249999998,0.73,0.15,0.12
w979844292,979844292,way,92.2178775,0.43,0.09,0.48
w980611822,980611822,way,1567.04110875,0.19,0.68,0.13
w980611823,980611823,way,583.1873999999999,0.35,0.57,0.08
w980611824,980611824,way,340.55197875,0.11,0.82,0.07
w1083205991,1083205991,way,14.512245,0.08,0.85,0.07
w1083279085,1083279085,way,39.253241249999995,0.27,0.58,0.15
w1083279086,1083279086,way,20.90323875,0.57,0.24,0.19
w1083279087,1083279087,way,22.16352375,0.14,0.6,0.26
w1083279088,1083279088,way,12.6302475,0.33999999999999997,0.45999999999999996,0.2
w1083279089,1083279089,way,11.180287499999999,0.39,0.54,0.07
w1083279095,1083279095,way,25.6419525,0.44,0.37,0.19
w1083279096,1083279096,way,99.09570375,0.75,0.07,0.18
w1083279097,1083279097,way,12.635516249999998,0.55,0.12,0.33
w1083279098,1083279098,way,17.0391375,0.17,0.73,0.1
w1083279099,1083279099,way,24.763125,0.48,0.52,0.0
w1083279100,1083279100,way,11.31200625,0.23,0.15,0.62
w1083279101,1083279101,way,9.122313749999998,0.35,0.5,0.15
w1083279102,1083279102,way,11.342565,0.03,0.34,0.63
w1190124851,1190124851,way,33.1699425,0.47,0.22,0.31
w1190124852,1190124852,way,115.94832749999999,0.75,0.24,0.01
w1207656377,1207656377,way,16.6935075,0.46,0.27,0.27
w469491620,469491620,way,21.72305625,0.48,0.14,0.38
w476753360,476753360,way,117.69017624999998,0.04,0.1,0.86
w535351168,535351168,way,9.306719999999999,0.04,0.85,0.11
w543183760,543183760,way,221.35810125,0.19,0.39,0.42
w543184811,543184811,way,128.09701125,0.36,0.16,0.48
